entity_id,model_id,feature_set,fold,race,sex,age_cat,label_value,score
3,LR_8_features,8,1,African-American,Male,25 - 45,1,0
14,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
42,LR_8_features,8,1,African-American,Male,25 - 45,1,1
45,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
70,LR_8_features,8,1,African-American,Male,25 - 45,0,0
71,LR_8_features,8,1,Caucasian,Male,25 - 45,1,0
85,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
100,LR_8_features,8,1,African-American,Female,Greater than 45,0,0
102,LR_8_features,8,1,Hispanic,Male,Less than 25,0,1
114,LR_8_features,8,1,Caucasian,Male,Less than 25,0,0
146,LR_8_features,8,1,Caucasian,Male,25 - 45,1,0
159,LR_8_features,8,1,Caucasian,Female,25 - 45,0,0
175,LR_8_features,8,1,Caucasian,Male,25 - 45,1,0
203,LR_8_features,8,1,African-American,Female,Less than 25,0,0
215,LR_8_features,8,1,African-American,Male,25 - 45,0,0
249,LR_8_features,8,1,Caucasian,Male,Greater than 45,1,0
252,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
258,LR_8_features,8,1,African-American,Female,25 - 45,0,1
259,LR_8_features,8,1,Hispanic,Male,Greater than 45,0,0
297,LR_8_features,8,1,African-American,Female,Less than 25,0,0
313,LR_8_features,8,1,Caucasian,Female,25 - 45,1,1
334,LR_8_features,8,1,African-American,Male,25 - 45,1,1
351,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
363,LR_8_features,8,1,Caucasian,Male,25 - 45,1,1
364,LR_8_features,8,1,African-American,Male,25 - 45,0,0
405,LR_8_features,8,1,Caucasian,Male,25 - 45,1,0
408,LR_8_features,8,1,Caucasian,Female,Less than 25,0,0
416,LR_8_features,8,1,African-American,Male,Greater than 45,1,0
417,LR_8_features,8,1,African-American,Male,25 - 45,0,0
428,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
456,LR_8_features,8,1,Caucasian,Male,25 - 45,0,1
474,LR_8_features,8,1,Caucasian,Female,Greater than 45,0,0
478,LR_8_features,8,1,African-American,Male,25 - 45,0,1
484,LR_8_features,8,1,Caucasian,Male,25 - 45,0,1
495,LR_8_features,8,1,African-American,Female,25 - 45,0,0
517,LR_8_features,8,1,African-American,Male,Less than 25,0,1
