entity_id,race,sex,age_cat,label_value
1,Other,Male,Greater than 45,0
3,African-American,Male,25 - 45,1
4,African-American,Male,Less than 25,1
7,Other,Male,25 - 45,0
8,Caucasian,Male,25 - 45,1
9,Other,Male,25 - 45,0
10,Caucasian,Female,25 - 45,0
14,Caucasian,Male,25 - 45,0
15,African-American,Male,Less than 25,1
16,Caucasian,Female,25 - 45,0
18,African-American,Male,25 - 45,0
19,Caucasian,Female,Greater than 45,1
20,African-American,Male,25 - 45,1
21,Hispanic,Male,25 - 45,0
22,African-American,Male,25 - 45,0
23,Caucasian,Male,25 - 45,1
24,Caucasian,Male,25 - 45,1
25,African-American,Male,Greater than 45,1
26,African-American,Male,Less than 25,1
27,Caucasian,Male,25 - 45,1
28,Caucasian,Female,Less than 25,0
30,Hispanic,Male,Less than 25,1
32,Caucasian,Male,25 - 45,0
33,Other,Male,25 - 45,0
37,African-American,Male,25 - 45,1
39,African-American,Male,25 - 45,1
40,African-American,Male,25 - 45,1
41,Caucasian,Male,25 - 45,1
42,African-American,Male,25 - 45,1
45,Caucasian,Male,Greater than 45,0
50,Other,Male,Greater than 45,1
52,Caucasian,Female,25 - 45,1
53,Caucasian,Male,Less than 25,1
54,African-American,Male,25 - 45,1
55,Caucasian,Male,25 - 45,0
56,African-American,Female,Less than 25,0
57,African-American,Male,Greater than 45,0
59,Caucasian,Male,25 - 45,1
61,African-American,Female,Greater than 45,0
64,African-American,Male,25 - 45,1
66,Caucasian,Male,25 - 45,1
67,African-American,Male,25 - 45,1
68,Caucasian,Male,Greater than 45,0
70,African-American,Male,25 - 45,0
71,Caucasian,Male,25 - 45,1
72,Other,Female,25 - 45,0
79,African-American,Male,25 - 45,0
80,African-American,Male,Less than 25,1
83,Hispanic,Male,25 - 45,0
84,African-American,Male,Greater than 45,0
85,Caucasian,Male,Greater than 45,0
87,African-American,Male,25 - 45,0
90,African-American,Male,25 - 45,1
91,Caucasian,Male,25 - 45,1
93,African-American,Male,Less than 25,1
96,African-American,Male,25 - 45,1
97,Hispanic,Male,Greater than 45,0
98,African-American,Male,25 - 45,1
99,Other,Male,25 - 45,0
100,African-American,Female,Greater than 45,0
101,Hispanic,Male,Greater than 45,1
102,Hispanic,Male,Less than 25,0
105,African-American,Male,25 - 45,0
107,African-American,Male,25 - 45,1
108,Caucasian,Male,25 - 45,1
111,African-American,Male,25 - 45,0
113,African-American,Male,Less than 25,1
114,Caucasian,Male,Less than 25,0
115,African-American,Female,25 - 45,1
119,African-American,Male,25 - 45,0
120,African-American,Male,25 - 45,0
122,African-American,Male,25 - 45,1
127,Other,Male,Greater than 45,1
128,African-American,Male,25 - 45,1
130,Other,Male,Less than 25,1
131,African-American,Male,Less than 25,1
136,African-American,Female,25 - 45,0
137,African-American,Male,25 - 45,1
138,Caucasian,Male,25 - 45,1
139,Other,Male,Less than 25,1
142,Caucasian,Male,25 - 45,1
145,Caucasian,Female,Less than 25,0
146,Caucasian,Male,25 - 45,1
148,Caucasian,Female,Greater than 45,0
150,Hispanic,Female,25 - 45,0
151,African-American,Male,Less than 25,1
153,African-American,Male,25 - 45,0
154,Caucasian,Female,25 - 45,1
156,Caucasian,Male,Less than 25,1
157,Caucasian,Male,25 - 45,0
158,Caucasian,Male,25 - 45,0
159,Caucasian,Female,25 - 45,0
163,Caucasian,Male,25 - 45,0
166,African-American,Male,Less than 25,1
169,Caucasian,Male,25 - 45,1
171,Caucasian,Male,25 - 45,0
173,African-American,Male,25 - 45,1
174,African-American,Male,25 - 45,0
175,Caucasian,Male,25 - 45,1
176,African-American,Male,25 - 45,1
177,African-American,Male,Less than 25,1
178,African-American,Male,25 - 45,1
180,African-American,Male,25 - 45,0
182,Other,Female,25 - 45,0
183,Caucasian,Male,25 - 45,1
184,African-American,Male,25 - 45,1
189,Caucasian,Male,Greater than 45,0
190,African-American,Male,25 - 45,1
194,Caucasian,Male,25 - 45,0
195,Caucasian,Female,25 - 45,0
197,Caucasian,Male,25 - 45,0
200,Other,Female,25 - 45,0
202,Caucasian,Male,25 - 45,1
203,African-American,Female,Less than 25,0
206,Caucasian,Female,25 - 45,1
208,Caucasian,Male,25 - 45,1
210,African-American,Male,25 - 45,1
213,Caucasian,Male,25 - 45,1
215,African-American,Male,25 - 45,0
216,Caucasian,Male,Greater than 45,1
220,African-American,Female,Less than 25,0
222,Caucasian,Female,25 - 45,0
223,African-American,Male,25 - 45,1
224,African-American,Male,25 - 45,1
225,African-American,Male,25 - 45,1
227,African-American,Female,25 - 45,1
228,African-American,Female,25 - 45,1
229,African-American,Male,25 - 45,1
231,African-American,Female,Less than 25,0
232,Caucasian,Female,25 - 45,0
234,African-American,Female,Greater than 45,1
235,Other,Male,Greater than 45,1
236,Hispanic,Male,Greater than 45,0
238,African-American,Female,25 - 45,1
239,Hispanic,Male,25 - 45,0
241,African-American,Female,25 - 45,1
243,Caucasian,Male,25 - 45,0
244,Caucasian,Female,25 - 45,1
245,African-American,Male,25 - 45,0
246,Caucasian,Male,Greater than 45,0
248,African-American,Male,Less than 25,0
249,Caucasian,Male,Greater than 45,1
252,Caucasian,Male,25 - 45,0
254,African-American,Male,25 - 45,1
257,Hispanic,Male,Less than 25,0
258,African-American,Female,25 - 45,0
259,Hispanic,Male,Greater than 45,0
260,African-American,Male,Greater than 45,0
264,Hispanic,Male,25 - 45,1
265,African-American,Male,25 - 45,1
266,Hispanic,Male,Greater than 45,0
267,Hispanic,Male,Greater than 45,0
268,Caucasian,Male,Greater than 45,1
269,Caucasian,Male,Greater than 45,0
271,Other,Male,Less than 25,0
275,African-American,Male,Less than 25,1
277,African-American,Male,Greater than 45,1
278,African-American,Male,Less than 25,1
279,Hispanic,Male,Greater than 45,0
281,African-American,Male,Greater than 45,0
282,Caucasian,Male,Greater than 45,1
287,African-American,Male,25 - 45,1
288,Caucasian,Male,25 - 45,1
289,African-American,Male,25 - 45,1
291,Caucasian,Male,Greater than 45,0
293,African-American,Male,Less than 25,1
294,African-American,Male,25 - 45,0
297,African-American,Female,Less than 25,0
298,Other,Male,25 - 45,1
299,Caucasian,Male,Greater than 45,0
300,Caucasian,Female,25 - 45,0
301,Caucasian,Male,25 - 45,0
302,African-American,Female,25 - 45,1
304,Other,Male,Less than 25,1
306,African-American,Male,25 - 45,1
308,African-American,Male,25 - 45,0
310,African-American,Female,25 - 45,0
313,Caucasian,Female,25 - 45,1
315,African-American,Male,25 - 45,0
317,African-American,Female,25 - 45,0
319,Caucasian,Male,Greater than 45,1
320,African-American,Male,25 - 45,0
321,African-American,Male,25 - 45,0
