sex,age,juv_fel_count,juv_misd_count,priors_count,c_charge_degree,c_charge_desc,two_year_recid
1,34,0,0,0,0,143,1
1,24,0,0,4,0,267,1
1,41,0,0,14,0,247,1
0,39,0,0,0,1,35,0
1,27,0,0,0,0,208,0
1,23,0,0,3,1,35,1
0,37,0,0,0,1,35,0
1,41,0,0,0,0,236,0
0,47,0,0,1,0,363,1
1,31,0,0,7,0,146,1
1,25,0,0,3,0,158,0
1,31,0,0,6,0,118,1
1,31,0,0,5,0,259,1
1,64,0,0,13,0,363,1
1,21,0,0,1,0,41,1
1,27,0,0,0,1,260,1
0,21,0,0,0,0,167,0
1,43,0,0,1,1,316,0
1,27,0,0,8,0,62,1
1,26,0,0,5,0,206,1
1,33,0,0,0,0,320,1
1,30,0,0,9,0,143,1
1,32,0,0,4,0,28,1
1,55,0,0,0,0,363,0
0,33,0,0,4,1,35,1
1,24,0,0,1,1,35,1
1,34,2,1,21,0,229,1
1,29,0,0,0,1,239,0
0,21,0,0,2,0,363,0
1,51,0,0,2,1,344,0
1,29,0,0,2,1,355,1
0,51,0,0,7,0,267,0
1,29,0,0,0,0,96,1
1,25,0,0,9,1,35,1
1,35,1,0,13,0,353,1
1,49,0,0,0,1,87,0
1,29,0,0,0,0,320,0
1,29,0,0,1,0,275,1
1,31,0,0,15,0,29,0
1,24,0,0,2,0,226,1
1,49,0,0,4,1,35,0
1,53,0,0,8,0,363,0
1,35,0,0,5,0,118,0
1,27,1,1,15,0,118,1
1,38,0,0,4,1,35,1
1,22,0,0,1,0,216,1
1,29,0,0,4,0,363,1
1,27,0,1,6,0,17,1
0,56,0,0,0,1,35,0
1,39,0,0,1,1,363,0
1,29,0,0,5,0,135,1
1,27,0,0,1,0,363,1
1,40,0,0,2,0,363,0
1,22,0,0,1,1,35,1
1,22,0,0,0,0,158,0
0,26,0,0,1,0,211,1
1,32,0,0,0,0,142,0
1,41,0,0,1,1,363,0
1,30,0,0,8,1,239,1
1,25,1,6,14,0,363,1
1,22,1,0,2,0,31,1
0,35,0,0,1,1,363,0
1,36,0,0,9,0,105,1
1,26,0,0,7,0,247,1
1,25,0,0,9,0,206,1
0,20,0,0,0,0,236,0
1,39,0,0,2,0,251,1
0,54,0,0,0,1,87,0
1,19,0,0,1,1,35,1
1,30,0,0,1,0,128,0
0,39,0,0,0,0,10,1
1,24,0,1,8,0,136,1
1,30,0,0,0,0,260,0
1,31,0,0,0,1,35,0
0,39,0,0,1,0,274,0
1,43,0,0,1,0,267,0
1,21,0,0,3,0,158,1
1,38,0,0,5,1,239,1
1,34,0,0,0,0,13,0
1,33,0,0,5,0,212,1
1,37,0,0,3,0,236,0
1,42,0,0,1,0,8,1
1,41,0,1,10,0,267,1
1,22,0,0,0,0,353,1
1,33,0,12,28,0,118,1
1,31,0,0,1,1,35,0
1,31,0,0,13,0,363,1
1,27,0,0,3,0,267,1
1,52,0,0,3,1,35,0
1,33,0,0,19,0,363,1
1,42,0,0,6,0,251,0
0,25,0,0,2,0,363,0
1,30,0,0,1,1,3,0
1,28,0,0,0,1,113,1
0,24,0,0,0,1,35,0
0,29,0,1,10,0,158,1
1,44,0,0,2,1,35,1
1,32,0,0,3,0,267,1
1,31,0,0,2,1,288,1
1,31,0,0,1,1,179,0
1,59,0,0,1,0,267,1
0,20,1,0,1,0,363,0
0,43,0,0,0,1,87,0
1,38,1,1,9,0,267,1
1,32,0,0,11,0,223,1
1,33,0,0,8,1,23,1
0,31,0,0,0,0,275,1
0,33,0,0,7,0,267,1
1,27,0,0,2,0,320,1
0,20,0,0,0,0,158,0
0,26,0,0,0,1,127,0
0,61,0,0,1,0,309,1
0,32,0,0,4,0,363,1
0,26,0,0,2,1,117,1
1,39,1,0,1,1,364,0
0,30,0,0,3,0,255,1
1,30,0,0,1,0,47,0
1,48,0,0,2,1,35,0
1,22,0,0,1,0,363,0
1,46,0,0,6,0,118,1
1,31,0,0,0,0,101,0
1,25,0,0,1,1,35,1
0,32,0,0,5,0,11,0
1,62,0,0,8,0,267,0
1,28,0,0,6,1,288,1
1,78,0,0,1,1,117,1
1,56,0,0,0,0,267,0
1,22,0,0,1,0,206,1
1,47,0,0,23,1,239,1
1,23,0,0,0,1,35,1
1,66,0,0,3,0,2,0
1,45,0,0,8,1,355,1
1,37,0,0,2,1,35,1
1,39,0,0,0,0,260,1
1,26,0,0,9,0,105,1
1,45,0,0,2,0,176,0
1,23,0,0,0,0,266,1
1,34,0,0,2,1,35,0
0,23,0,0,1,1,35,0
1,50,0,0,1,0,304,0
0,37,0,0,0,1,173,0
1,44,0,0,4,1,35,0
0,35,0,1,23,0,147,1
1,26,0,0,2,0,150,1
1,27,0,0,0,1,75,0
0,28,0,0,0,0,5,0
0,28,0,0,7,0,147,1
1,38,0,0,2,0,118,0
0,28,0,0,1,0,363,0
1,56,0,0,7,0,146,1
1,38,0,0,15,0,267,0
1,28,0,0,2,1,239,0
0,51,0,0,0,1,117,1
1,51,0,0,0,1,35,0
1,48,0,0,0,0,16,0
1,37,0,0,4,0,363,1
0,30,0,0,2,0,158,0
0,41,0,0,5,1,35,0
1,27,0,0,11,0,292,1
1,37,0,0,0,1,35,0
1,54,0,0,11,0,154,0
1,23,0,0,2,0,293,0
1,41,0,0,0,1,35,0
1,52,0,0,0,0,57,0
1,43,0,0,13,0,118,1
1,52,0,0,0,0,353,0
1,28,0,0,1,0,363,0
1,30,0,0,11,1,35,1
1,28,0,0,1,0,75,0
1,22,0,0,0,0,206,0
1,30,0,0,4,0,118,0
1,31,0,0,0,0,56,1
1,37,0,0,0,0,158,1
1,32,0,1,14,0,17,0
1,53,0,0,1,1,35,0
1,28,0,0,25,0,363,1
1,44,0,0,8,1,35,1
1,25,0,0,0,0,158,0
1,22,0,0,1,1,362,1
0,23,0,0,5,0,363,1
1,29,0,0,1,1,35,0
1,20,0,0,1,0,62,1
1,30,0,0,2,0,62,1
1,27,0,0,4,0,363,0
0,37,0,0,2,0,363,0
1,20,0,0,0,0,247,0
0,52,0,0,0,0,49,0
0,23,0,0,0,0,62,1
0,48,0,0,0,0,10,0
1,25,0,0,0,0,101,0
1,27,0,0,0,0,158,1
1,30,0,0,11,0,339,1
1,22,0,1,3,1,35,1
0,22,0,0,1,0,206,0
0,41,0,0,2,1,41,0
1,52,0,0,3,0,267,1
1,43,0,0,0,0,142,0
1,37,0,0,3,0,363,0
1,70,0,0,1,1,35,0
1,46,0,0,3,0,363,0
1,21,0,0,0,1,204,1
1,26,0,0,1,1,35,1
1,34,0,0,5,1,35,0
1,34,0,0,5,1,116,0
1,23,0,0,0,0,10,1
1,34,0,0,5,0,275,1
1,39,0,0,6,0,17,1
1,58,0,0,2,0,4,0
0,21,0,0,0,1,35,0
1,23,0,0,4,1,239,1
1,62,0,0,0,0,132,0
1,37,0,0,5,0,41,0
0,32,0,0,5,0,5,0
1,27,0,0,0,1,35,0
1,44,0,0,0,1,35,1
1,28,0,0,3,1,35,1
0,42,0,0,0,0,267,0
1,27,0,0,0,0,5,0
1,20,0,0,0,0,154,1
0,51,0,0,0,1,41,0
1,56,0,0,0,1,39,0
1,29,0,0,7,0,363,0
1,20,0,0,0,0,158,1
1,27,0,0,8,0,363,0
1,24,0,1,2,0,55,1
1,53,0,0,36,0,70,1
1,28,0,0,2,1,35,1
0,36,0,0,0,0,5,0
0,25,0,0,2,1,204,1
1,28,0,0,1,0,206,0
0,21,0,0,0,0,294,1
1,36,0,0,0,1,355,0
1,24,0,0,0,0,158,0
1,29,0,0,0,0,10,0
0,30,0,0,0,1,35,0
1,32,0,1,12,0,363,1
1,23,0,0,1,0,158,0
1,47,0,0,3,0,247,0
1,37,0,0,0,0,152,0
1,19,0,2,2,0,223,1
0,21,0,0,0,0,267,0
1,69,0,0,0,1,11,0
1,21,0,0,2,0,363,0
1,26,0,0,6,1,35,1
1,22,0,0,0,0,267,0
0,23,0,0,0,0,118,1
1,49,0,0,3,0,154,0
1,29,0,0,2,1,35,0
0,60,0,0,0,1,35,0
1,23,2,0,3,0,236,1
1,30,0,0,0,0,267,0
1,21,0,1,1,0,158,0
1,22,0,0,2,1,239,1
1,21,0,0,4,0,363,1
1,21,0,0,0,0,55,1
1,34,0,0,1,1,35,0
0,50,0,0,1,1,35,1
1,40,0,0,0,0,363,1
1,25,0,0,7,0,319,1
0,53,0,0,1,1,35,0
0,24,0,0,0,0,10,0
1,42,0,0,1,0,363,0
1,28,0,0,1,1,35,0
1,26,1,1,6,0,292,1
1,22,0,0,4,0,158,1
1,21,0,0,3,1,363,0
1,37,0,0,23,0,41,1
1,35,0,0,2,0,266,0
1,53,0,0,2,0,146,0
1,29,0,0,7,0,267,0
1,48,1,0,23,0,147,1
0,52,0,0,0,1,35,0
1,27,0,0,12,0,118,1
1,28,0,0,5,0,363,0
1,33,0,0,3,1,35,0
1,36,0,0,14,0,324,1
1,29,1,0,2,0,17,0
1,22,0,0,0,1,344,1
1,25,0,0,0,0,287,0
1,56,0,0,5,0,118,0
1,27,0,0,9,0,17,1
