sex,age,juv_fel_count,juv_misd_count,priors_count,c_charge_degree,c_charge_desc,race,two_year_recid
0,30,0,0,4,0,74,0,0
1,37,3,0,12,1,363,0,0
1,39,0,0,0,0,10,1,0
1,31,0,0,1,1,116,0,0
1,55,0,0,1,0,267,1,0
1,53,0,0,1,1,35,1,0
1,27,0,0,11,0,292,0,1
1,26,0,0,5,0,267,1,1
0,21,0,0,0,1,35,0,0
0,35,0,0,4,0,10,0,0
1,23,0,0,0,0,56,0,0
1,38,0,0,7,1,35,0,0
1,21,1,0,1,0,49,0,1
1,21,0,0,0,1,35,0,1
1,43,1,0,20,0,118,0,0
1,39,0,0,5,0,56,1,0
1,50,0,0,1,0,363,1,0
1,31,0,0,0,1,267,0,0
1,24,0,0,0,0,105,0,1
1,21,0,0,3,0,158,0,1
1,28,0,0,0,0,327,1,0
0,28,0,0,0,0,118,1,0
0,21,0,0,0,0,158,1,0
1,22,0,1,1,0,206,0,0
1,35,0,0,1,1,35,0,0
0,49,0,0,1,0,146,0,0
1,26,0,0,2,0,5,0,0
1,52,0,0,8,0,363,1,0
1,43,0,0,0,1,316,1,0
1,24,0,0,1,0,99,1,0
0,20,0,0,0,0,223,1,1
1,22,0,0,1,0,206,0,1
1,27,0,0,0,0,5,0,0
1,49,0,0,0,1,35,0,1
1,42,0,0,2,0,267,1,1
1,33,0,0,8,1,23,0,1
1,27,0,0,1,1,125,0,0
0,42,0,0,4,1,35,1,1
1,24,0,0,0,0,158,1,0
1,26,0,0,2,0,1,1,1
0,39,0,0,1,0,363,0,0
1,25,0,0,0,1,88,1,0
1,24,0,3,12,1,35,0,0
0,31,0,0,2,0,55,1,1
1,44,0,0,1,1,35,1,0
1,31,0,0,2,1,88,1,0
1,28,0,0,2,1,122,1,0
1,23,0,0,0,0,56,0,1
1,47,0,0,1,1,35,1,0
0,25,0,0,2,1,342,1,1
1,67,0,0,2,1,285,1,1
0,30,0,0,3,0,255,1,1
1,24,0,1,2,0,55,0,1
1,24,0,0,0,1,117,0,1
1,34,0,0,0,1,35,1,0
1,25,0,0,5,0,363,0,1
1,24,0,0,0,0,206,0,0
1,26,0,0,6,1,316,0,0
1,58,0,0,2,0,287,1,0
